id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,zubr_id,observers,wrong-voters-number,major-violations,minor-violations
05-040-0019,Sluck,town_below100,53.017331,27.555426,5,,174,96,1651.0,1812.0,4,88.0,0,0,18.0,0,0,,0,1,26.0,0,0,,0,0,17.0,0,1,945.0,0,168,557.0,96,4885,2,True,True,False
05-040-0028,Sluck,town_below100,53.022271,27.543182,5,,124,53,944.0,1082.0,0,73.0,0,1,18.0,1,0,12.0,0,0,22.0,0,1,,0,0,11.0,0,2,514.0,0,120,294.0,52,4894,1,False,False,True
05-040-0063,Лучники,village,53.044165,27.506818,5,,168,77,1458.0,1702.0,0,95.0,0,1,28.0,0,0,18.0,0,1,36.0,0,0,,0,1,18.0,1,1,698.0,0,164,565.0,76,4929,2,False,False,True
05-041-0008,Smalyavichy,town_below100,54.017173,28.062238,5,,199,103,1177.0,1458.0,5,353.0,1,0,28.0,0,1,10.0,0,2,17.0,1,1,,0,0,27.0,0,1,264.0,0,189,478.0,101,4944,2,False,False,False
05-041-0012,Будагово,village,54.143966,28.302178,5,,103,61,1002.0,1132.0,2,16.0,0,1,3.0,0,0,,0,0,14.0,0,1,,0,1,10.0,0,3,568.0,1,95,391.0,60,4948,2,False,False,False
05-041-0030,Прилепы,village,54.07545,27.836825,5,,175,103,813.0,1173.0,0,44.0,0,0,10.0,0,1,13.0,0,2,12.0,1,1,,0,1,10.0,1,2,279.0,0,168,444.0,101,4966,3,False,False,True
05-041-0035,Smalyavichy,town_below100,54.017173,28.062238,5,,124,66,1018.0,1420.0,3,176.0,0,0,11.0,0,0,14.0,0,1,21.0,1,0,,0,0,18.0,0,0,257.0,0,120,521.0,65,4971,2,False,False,False
05-042-0041,Краснодворцы,village,52.804402,27.437837,5,,94,49,925.0,995.0,0,73.0,0,0,23.0,0,0,9.0,0,1,24.0,0,0,,0,0,24.0,0,1,345.0,0,92,427.0,49,5012,0,False,False,False
05-042-0050,Гаврильчицы,village,52.6361,27.085472,5,,61,29,608.0,712.0,1,75.0,0,0,3.0,0,0,,0,0,2.0,0,0,,0,0,4.0,0,1,308.0,0,59,216.0,29,5021,0,False,False,False
05-042-0056,Ясковичи,village,52.573906,27.515191,5,,14,6,396.0,445.0,0,15.0,0,0,9.0,0,1,3.0,1,0,4.0,0,0,,0,0,6.0,0,0,279.0,0,13,80.0,5,5027,1,False,False,False
05-042-0062,Зажевичи,village,52.792434,27.642994,5,,58,22,691.0,741.0,2,47.0,0,0,7.0,0,0,,0,2,11.0,0,0,,0,0,16.0,0,1,460.0,0,53,150.0,22,5033,1,False,False,True
05-044-0005,Stowbtsy,town_below100,53.490016,26.742729,5,,356,189,2037.0,2138.0,10,126.0,1,1,30.0,1,1,14.0,0,3,52.0,1,2,,0,0,18.0,0,3,908.0,1,336,889.0,185,5064,2,False,False,True
05-044-0007,Stowbtsy,town_below100,53.494848,26.7505,5,,275,127,1594.0,1756.0,5,116.0,0,2,37.0,1,0,11.0,0,2,27.0,0,1,,0,0,12.0,0,6,829.0,1,259,562.0,125,5066,2,False,False,False
05-044-0010,Новоколосово,village,53.518936,26.929687,5,,87,38,1004.0,1209.0,2,85.0,1,0,8.0,0,0,13.0,0,0,23.0,0,0,,0,0,11.0,0,0,512.0,0,85,352.0,37,5069,2,False,False,False
05-044-0025,Засулье,village,53.580689,26.832767,5,,60,29,661.0,794.0,3,47.0,1,0,7.0,0,0,,0,0,15.0,0,0,,0,0,19.0,0,1,343.0,0,56,230.0,28,5084,1,False,False,False
05-045-0012,Яченка,village,53.570584,27.563924,5,,31,11,296.0,308.0,1,25.0,0,0,6.0,0,0,,0,0,8.0,0,0,,0,0,5.0,0,1,124.0,0,29,128.0,11,5108,0,False,False,False
05-045-0018,Кухтичи,village,53.462084,27.137575,5,,33,14,625.0,692.0,0,20.0,0,0,6.0,0,0,16.0,0,0,9.0,0,0,,0,1,14.0,0,0,392.0,0,32,168.0,14,5114,1,False,False,True
05-046-0022,Zapollie,village,53.76467,27.993867,5,,215,125,1458.0,1806.0,6,70.0,3,0,18.0,0,0,5.0,0,0,29.0,0,1,,0,1,17.0,0,6,671.0,0,201,648.0,122,5139,2,True,True,True
05-141-0003,Borovlyany,minsk_suburb,53.997901,27.681891,5,,510,299,1538.0,2389.0,13,121.0,5,6,33.0,3,0,12.0,0,2,28.0,0,1,,0,0,17.0,0,4,291.0,0,484,1048.0,291,4575,3,False,False,False
05-141-0005,Borovlyany,minsk_suburb,53.990353,27.675055,5,,506,335,1484.0,2369.0,11,93.0,4,1,21.0,0,0,,0,4,32.0,1,1,,0,1,13.0,0,1,323.0,0,487,1002.0,330,4577,4,False,False,False
05-141-0008,Лесковка,minsk_suburb,53.998976,27.719944,5,,549,327,1437.0,2144.0,11,69.0,7,0,9.0,0,0,16.0,0,5,31.0,1,2,,1,2,11.0,1,6,613.0,0,523,688.0,317,4580,6,False,False,True
05-141-0011,Боровлянский сельский Совет,minsk_suburb,54.009057,27.679385,5,,616,422,1263.0,1821.0,15,96.0,2,0,10.0,0,2,5.0,1,4,17.0,2,3,,0,0,10.0,0,3,178.0,1,589,947.0,416,4583,7,False,False,False
05-141-0014,Лесковка,minsk_suburb,54.005194,27.707026,5,,429,291,1239.0,1818.0,7,68.0,4,1,16.0,0,0,12.0,0,3,23.0,2,0,,0,2,13.0,2,0,270.0,0,416,837.0,283,4586,4,False,False,False
