id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout,against,cherechen,corrupted,dmitriyev,kanopatskaja,tihanovkaja,lukashenko
03-095-0011,Ручаёвка,village,51.880132,30.511925,3,,4,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,4,,1,659.248,524.959,0.7963,2.07389,0.609432,0.450252,0.736776,0.677652,16.976,503.435
03-095-0012,Страдубка,village,52.121493,30.680863,3,,15,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,6,659.248,524.959,0.7963,7.77708,2.28537,1.68845,2.76291,2.5412,63.66,444.244
03-095-0013,Переделка,village,52.041159,30.720883,3,,14,7,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,13,,7,659.248,524.959,0.7963,9.19387,2.70171,1.99604,3.26624,3.00414,55.172,449.625
03-095-0014,Уборок,village,52.055105,30.496609,3,,14,2,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,13,,2,659.248,524.959,0.7963,9.19387,2.70171,1.99604,3.26624,3.00414,55.172,449.625
03-096-0001,Mazyr,town_over100,52.031846,29.301571,3,,64,21,,,2,,0,0,,0,0,,0,1,,0,0,,0,0,,0,1,,0,60,,21,1367.42,1061.39,0.7762,24.1899,7.37073,4.99627,7.76648,5.14467,156.42,855.504
03-096-0002,Mazyr,town_over100,52.044604,29.272385,3,,113,61,,,2,,1,0,,0,0,,0,0,,0,1,,0,0,,0,1,,0,109,,60,1367.42,1061.39,0.7762,38.8061,11.8243,8.01516,12.4592,8.25323,284.163,697.871
03-096-0003,Mazyr,town_over100,52.040577,29.277694,3,,264,149,1945,2435,5,19,2,3,6,1,0,,0,5,16,2,1,,0,2,9,1,2,1651,0,246,244,143,2435,1890.05,0.7762,101.695,30.9869,21.0046,32.6507,21.6285,641.322,1040.76
03-096-0004,Mazyr,town_over100,52.037696,29.270472,3,,291,163,2373,2498,5,133,2,0,22,0,0,25,0,1,9,1,2,,0,0,3,0,3,1583,0,280,597,160,2498,1938.95,0.7762,100.825,30.7219,20.8249,32.3714,21.4434,729.96,1002.8
03-096-0005,Mazyr,town_over100,52.034893,29.26254,3,,291,155,2427,2680,3,120,2,3,11,2,1,46,1,1,26,0,0,,0,0,25,0,1,1974,1,282,225,149,2680,2080.22,0.7762,98.2758,29.945,20.2983,31.5528,20.9012,735.174,1144.07
03-096-0006,Mazyr,town_over100,52.040234,29.259997,3,,81,46,,,0,,0,0,,0,0,,0,1,,1,0,,0,0,,0,1,,0,79,,45,1367.42,1061.39,0.7762,26.7111,8.13898,5.51702,8.57597,5.6809,205.953,800.815
03-096-0007,Mazyr,town_over100,52.049816,29.26686,3,,77,40,,,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,,0,72,,40,1367.42,1061.39,0.7762,29.3424,8.94075,6.06051,9.42079,6.24052,187.704,813.683
03-096-0008,Mazyr,town_over100,52.045862,29.264848,3,,125,74,1179,1451,3,104,1,0,18,0,0,7,0,4,26,2,2,,0,0,19,0,0,608,0,116,397,71,1451,1179,0.812543,104,18,7,26,19,397,608
03-096-0009,Mazyr,town_over100,52.044416,29.250044,3,,139,58,1074,1119,2,78,0,0,23,0,0,,0,1,25,0,1,,0,1,21,0,2,592,0,132,335,58,1119,868.568,0.7762,50.3861,15.3528,10.4069,16.1771,10.7161,344.124,421.405
03-096-0010,Mazyr,town_over100,52.050475,29.259342,3,,84,48,,,2,,0,1,,1,0,,0,1,,0,1,,0,1,,1,1,,0,77,,46,1367.42,1061.39,0.7762,33.9801,10.3539,7.01839,10.9098,7.22686,200.739,791.164
03-096-0011,Mazyr,town_over100,52.046765,29.25697,3,,132,68,,,2,,0,0,,0,0,,0,1,,1,0,,0,0,,0,0,,0,129,,67,1367.42,1061.39,0.7762,43.1987,13.1628,8.92244,13.8695,9.18746,336.303,636.748
03-096-0012,Mazyr,town_over100,52.052912,29.256386,3,,173,75,,,1,,0,0,,0,0,,0,1,,0,0,,0,1,,0,1,,0,169,,75,1367.42,1061.39,0.7762,56.7035,17.2777,11.7118,18.2054,12.0596,440.583,504.851
03-096-0013,Mazyr,town_over100,52.049213,29.24787,3,,181,96,,,4,,2,2,,0,0,,0,1,,1,0,,0,0,,0,2,,0,172,,93,1367.42,1061.39,0.7762,65.4639,19.9471,13.5212,21.0181,13.9228,448.404,479.115
03-096-0014,Mazyr,town_over100,52.047224,29.240109,3,,200,96,,,3,,0,0,,0,0,,0,2,,0,0,,0,2,,0,1,,0,192,,96,1367.42,1061.39,0.7762,69.8566,21.2855,14.4285,22.4284,14.857,500.544,417.992
03-096-0015,Mazyr,town_over100,52.051616,29.243729,3,,130,71,,,4,,0,3,,3,0,,0,0,,0,0,,0,1,,0,0,,0,122,,68,1367.42,1061.39,0.7762,48.9763,14.9232,10.1158,15.7245,10.4162,318.054,643.182
03-096-0016,Mazyr,town_over100,52.056999,29.237818,3,,149,81,,,2,,1,0,,0,0,,0,3,,2,1,,0,0,,0,3,,0,140,,78,1367.42,1061.39,0.7762,55.9186,17.0386,11.5497,17.9534,11.8927,364.98,582.059
03-096-0017,Mazyr,town_over100,52.058085,29.228754,3,,246,140,1887,2132,7,282,4,0,17,0,1,,1,1,21,0,1,,0,0,26,0,6,1424,0,230,117,135,2132,1654.86,0.7762,93.7765,28.574,19.369,30.1082,19.9443,599.61,863.478
03-096-0018,Mazyr,town_over100,52.059679,29.228619,3,,209,113,2154,2268,0,80,0,0,21,0,0,6,0,1,9,0,1,,0,0,10,0,0,1827,0,207,201,113,2268,1760.42,0.7762,64.8923,19.7729,13.4031,20.8345,13.8012,539.649,1088.07
03-096-0019,Mazyr,town_over100,52.030283,29.239812,3,,246,125,1987,2092,0,35,0,2,20,1,0,5,0,0,8,0,3,,0,4,28,2,1,1768,0,236,123,122,2092,1623.81,0.7762,86.1276,26.2434,17.7891,27.6524,18.3175,615.252,832.428
03-096-0020,Mazyr,town_over100,52.047501,29.238456,3,,3,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,,0,1367.42,1061.39,0.7762,0.89487,0.27267,0.18483,0.28731,0.19032,7.821,1051.74
03-096-0021,Mazyr,town_over100,52.049019,29.267301,3,,396,204,,,12,,5,0,,0,3,,1,2,,2,0,,0,1,,0,6,,0,372,,196,1727.62,1340.98,0.7762,148.719,45.3151,30.7169,47.7481,31.6293,969.804,67.0491
03-096-0022,Mazyr,town_over100,52.073509,29.204284,3,,187,109,,,4,,1,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,182,,108,1367.42,1061.39,0.7762,62.1543,18.9386,12.8376,19.9555,13.2189,474.474,459.813
03-096-0023,Mazyr,town_over100,52.049019,29.267301,3,,202,113,1843,2040,6,110,1,1,84,0,0,,0,2,51,0,0,,0,0,39,0,4,953,0,189,606,112,2040,1843,0.903431,91.08,84,18.92,51,39,606,953
03-096-0024,Mazyr,town_over100,52.038201,29.20856,3,,155,93,,,1,,1,1,,0,1,,0,2,,0,1,,0,0,,0,2,,0,147,,92,1367.42,1061.39,0.7762,56.4335,17.1955,11.656,18.1187,12.0022,383.229,562.757
03-096-0025,Mazyr,town_over100,52.034616,29.218531,3,,168,86,1715,1928,5,46,2,1,83,0,0,,0,2,66,2,2,,0,1,52,1,1,1318,0,156,150,81,1928,1496.51,0.7762,65.4106,19.9308,13.5102,21.0009,13.9115,406.692,956.054
03-096-0026,Mazyr,town_over100,52.031081,29.220525,3,,237,118,2090,2201,6,32,1,1,28,1,1,11,1,3,23,1,0,,0,2,26,0,2,1359,0,222,611,114,2201,1708.42,0.7762,89.8171,27.3676,18.5512,28.837,19.1022,578.754,945.991
03-096-0027,Mazyr,town_over100,52.02948,29.217606,3,,244,131,,,4,,0,2,,0,0,,0,0,,0,1,,1,0,,0,2,,0,235,,130,1367.42,1061.39,0.7762,84.2562,25.6731,17.4026,27.0516,17.9195,612.645,276.444
03-096-0028,Mazyr,town_over100,52.026438,29.230676,3,,12,8,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,12,,8,1367.42,1061.39,0.7762,3.57948,1.09068,0.73932,1.14924,0.76128,31.284,1022.79
