id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout
01-011-0057,Brest,city,52.074506,23.757538,1,,336,199,,,7,,4,3,,2,0,,0,5,,4,0,,0,2,,0,6,,0,313,,189,1335.18,1055.33,0.7904
01-011-0058,Brest,city,52.080816,23.759478,1,,561,318,1628,2008,11,270,4,2,15,0,1,7,0,3,17,1,1,,0,1,32,0,8,1024,0,534,920,313,2008,1587.12,0.7904
01-011-0059,Brest,city,52.074561,23.758831,1,,237,132,,,7,,0,2,,0,2,,1,2,,1,0,,0,0,,0,3,,0,221,,130,1335.18,1055.33,0.7904
01-011-0060,Brest,city,52.074561,23.758831,1,,326,196,1413,1485,3,122,2,2,36,0,0,14,0,4,25,1,0,,0,2,31,1,3,971,0,312,214,192,1485,1173.74,0.7904
01-011-0061,Brest,city,52.072446,23.761005,1,,312,179,1681,2310,9,144,1,3,35,1,1,16,1,1,27,0,2,,1,1,16,0,1,574,0,294,869,175,2310,1681,0.727706
01-011-0062,Brest,city,52.072413,23.758328,1,,312,188,1895,2118,2,114,2,0,23,0,1,19,0,1,30,0,1,,0,0,12,0,4,1192,1,303,505,185,2118,1674.07,0.7904
01-011-0063,Brest,city,52.072258,23.759209,1,,613,382,2735,2977,7,181,2,3,51,2,0,17,0,2,47,0,0,,0,0,24,0,5,1387,0,596,1028,378,2977,2353.02,0.7904
01-011-0064,Brest,city,52.071727,23.753846,1,,411,262,,,1,,0,2,,0,2,,2,2,,0,0,,0,2,,0,4,,0,398,,260,1335.18,1055.33,0.7904
01-011-0065,Brest,city,52.079814,23.749794,1,,193,116,1256,1511,4,98,1,2,12,1,1,,0,2,21,0,1,,0,0,24,0,1,939,0,182,162,114,1511,1194.29,0.7904
01-011-0066,Brest,city,52.079814,23.749794,1,,338,218,2104,2525,4,57,1,1,41,0,1,13,1,5,41,4,0,,0,2,22,0,2,1432,0,323,498,212,2525,1995.76,0.7904
01-011-0067,Brest,city,52.077877,23.748537,1,,363,206,,,5,,3,1,,0,0,,0,2,,1,0,,0,0,,0,2,,1,353,,201,1335.18,1055.33,0.7904
01-011-0068,Brest,city,52.07926,23.74391,1,,193,117,,,3,,1,2,,0,0,,0,2,,1,0,,0,1,,1,1,,0,184,,114,1335.18,1055.33,0.7904
01-011-0069,Brest,city,52.07926,23.74391,1,,351,213,,,4,,2,1,,0,0,,0,2,,1,1,,0,0,,0,3,,0,340,,210,1335.18,1055.33,0.7904
01-011-0070,Brest,city,52.078408,23.743865,1,,248,159,1596,1821,3,112,2,2,98,1,0,,0,2,32,1,1,,0,0,17,0,1,1251,0,239,86,155,1821,1439.32,0.7904
