,id,town,area
309,01-051-0009,Antopal,village
310,01-051-0010,Татарновичи,village
311,01-051-0011,Детковичи,village
312,01-051-0012,Бездеж,village
313,01-051-0013,Завершье,village
314,01-051-0014,Субботы,village
315,01-051-0015,Вулька,village
316,01-051-0016,Гутово,village
317,01-051-0017,Липники,village
318,01-051-0018,Ровины,village
319,01-051-0019,Перковичи,village
320,01-051-0020,Головчицы,village
321,01-051-0021,Корсунь,village
322,01-051-0022,Закозель,village
323,01-051-0023,Вулька Радовецкая,village
324,01-051-0024,Именин,village
325,01-051-0025,Немержа,village
326,01-051-0026,Алексеевичи,village
327,01-051-0027,Осовцы,village
328,01-051-0028,Белин,village
329,01-051-0029,Новая Попина,village
330,01-051-0030,Заречка,village
331,01-051-0031,Радостово,village
332,01-051-0032,Сварынь,village
333,01-051-0033,Drahichyn,region-center
334,01-051-0034,Гошево,village
335,01-052-0001,Zhabinka,region-center
336,01-052-0002,Zhabinka,region-center
337,01-052-0003,Zhabinka,region-center
338,01-052-0004,Zhabinka,region-center
339,01-052-0005,Zhabinka,region-center
340,01-052-0006,Zhabinka,region-center
341,01-052-0007,Zhabinka,region-center
342,01-052-0008,Zhabinka,region-center
343,01-052-0009,Zhabinka,region-center
344,01-052-0010,Ленинский,village
345,01-052-0011,Озяты,village
346,01-052-0012,Ракитница,village
347,01-052-0013,Хмелево,village
348,01-052-0014,Степанки,village
349,01-052-0015,Кривляны,village
350,01-052-0016,Большие Сехновичи,village
351,01-052-0017,Малые Яковчицы,village
352,01-052-0018,Огородники,village
353,01-053-0001,Ivanava,region-center
354,01-053-0002,Ivanava,region-center
355,01-053-0003,Ivanava,region-center
356,01-053-0004,Ivanava,region-center
357,01-053-0005,Ivanava,region-center
358,01-053-0006,Ivanava,region-center
359,01-053-0007,Ivanava,region-center
360,01-053-0008,Бродница,village
361,01-053-0009,Яечковичи,village
362,01-053-0010,Потаповичи,village
363,01-053-0011,Горбаха,village
364,01-053-0012,Снитово,village
365,01-053-0013,Глинно,village
366,01-053-0014,Вороцевичи,village
367,01-053-0015,Лясковичи,village
368,01-053-0016,Дружиловичи,village
369,01-053-0017,Ляховичи,village
370,01-053-0018,Молодово,village
371,01-053-0019,Достоево,village
372,01-053-0020,Полкотичи,village
373,01-053-0021,Motal,village
374,01-053-0022,Motal,village
375,01-053-0023,Тышковичи,village
376,01-053-0024,Мохро,village
377,01-053-0025,Завышье,village
378,01-053-0026,Завышье,village
379,01-053-0027,Власовцы,village
380,01-053-0028,Залядынье,village
381,01-053-0029,Ополь,village
382,01-053-0030,Psyshchevo,village
383,01-053-0031,Рудск,village
384,01-053-0032,Крытышин,village
385,01-053-0033,Гневчицы,village
386,01-053-0034,Сухое,village
387,01-053-0035,Стрельно,village
388,01-053-0036,Сочивки,village
389,01-054-0001,Ivacevichi,region-center
390,01-054-0002,Ivacevichi,region-center
391,01-054-0003,Ivacevichi,region-center
392,01-054-0004,Ivacevichi,region-center
393,01-054-0005,Ivacevichi,region-center
394,01-054-0006,Ivacevichi,region-center
395,01-054-0007,Ivacevichi,region-center
396,01-054-0008,Kosava,town
397,01-054-0009,Ivacevichi,region-center
398,01-054-0010,Telekhany,village
399,01-054-0011,Вулька Телеханская,village
400,01-054-0012,Гортоль,village
401,01-054-0013,Сомино,village
402,01-054-0014,Выгонощи,village
403,01-054-0015,Бытень,village
404,01-054-0016,Наливки,village
405,01-054-0017,Волька,village
406,01-054-0018,Могилицы,village
407,01-054-0019,Добромысль,village
408,01-054-0020,Селец,village
409,01-054-0021,Доманово,village
410,01-054-0022,Volya,village
411,01-054-0023,Ходаки,village
412,01-054-0024,Вулька Обровская,village
413,01-054-0025,Kvasievičy,village
414,01-054-0026,Заполье,village
415,01-054-0027,Любищицы,village
416,01-054-0028,Miliejki,village
417,01-054-0029,Hryŭda,village
418,01-054-0030,Busiaž,village
419,01-054-0031,Оброво,village
420,01-054-0032,Глинная,village
421,01-054-0033,Подстаринь,village
422,01-054-0034,Кушнеры,village
423,01-054-0035,Речки,village
424,01-054-0036,Речковский сельский Совет,village
425,01-054-0037,Рудня,village
426,01-054-0038,Святая Воля,village
427,01-054-0039,Великая Гать,village
428,01-054-0040,Стайки,village
429,01-054-0041,Гощево,village
430,01-054-0042,Зелёный Бор,village
431,01-054-0043,Яглевичи,village
432,01-054-0044,Бараны,village
433,01-055-0001,Kamyanyets,region-center
434,01-055-0002,Kamyanyets,region-center
435,01-055-0003,Kamyanyets,region-center
436,01-055-0004,Kamyanyets,region-center
437,01-055-0005,Kamyanyets,region-center
438,01-055-0006,Речица,village
439,01-055-0007,Пелище,village
440,01-055-0008,Видомля,village
441,01-055-0009,Турна Большая,village
442,01-055-0010,Ратайчицы,village
443,01-055-0011,Перковичи,village
444,01-055-0012,Бучемль 2,village
445,01-055-0013,Дмитровичи,village
446,01-055-0014,Ходосы,village
447,01-055-0015,Каменюки,village
448,01-055-0016,Новицковичи,village
449,01-055-0017,Vowchyn,village
450,01-055-0018,Новосёлки,village
451,01-055-0019,Ставы,village
452,01-055-0020,Aharodniki,village
453,01-055-0021,Makarava,village
454,01-055-0022,Рясна,village
455,01-055-0023,Оберовщина,village
456,01-055-0024,Пограничная,village
457,01-055-0025,Беловежский,village
458,01-055-0026,Беловежский,village
459,01-055-0027,Верховичи,village
460,01-055-0028,Кунаховичи,village
461,01-055-0029,Ходосы,village
462,01-055-0030,Омеленец,village
463,01-055-0031,Vysokaye,town
464,01-055-0032,Vysokaye,town
465,01-055-0033,Vysokaye,town
466,01-055-0034,Kamyanyets,region-center
467,01-055-0035,Vysokaye,town
468,01-055-0036,Верховичи,village
469,01-056-0001,Kobryn,region-center
470,01-056-0002,Kobryn,region-center
471,01-056-0003,Kobryn,region-center
472,01-056-0004,Kobryn,region-center
473,01-056-0005,Kobryn,region-center
474,01-056-0006,Kobryn,region-center
475,01-056-0007,Kobryn,region-center
476,01-056-0008,Kobryn,region-center
477,01-056-0009,Kobryn,region-center
478,01-056-0010,Kobryn,region-center
479,01-056-0011,Kobryn,region-center
480,01-056-0012,Kobryn,region-center
481,01-056-0013,Kobryn,region-center
482,01-056-0014,Kobryn,region-center
483,01-056-0015,Kobryn,region-center
484,01-056-0016,Kobryn,region-center
485,01-056-0017,Kobryn,region-center
486,01-056-0018,Kobryn,region-center
487,01-056-0019,Kobryn,region-center
488,01-056-0020,Kobryn,region-center
489,01-056-0021,Батчи,village
490,01-056-0022,Kobryn,region-center
491,01-056-0023,Буховичи,village
492,01-056-0024,Ерёмичи,village
493,01-056-0025,Зосимы,village
494,01-056-0026,Именин,village
495,01-056-0027,Kobryn,region-center
496,01-056-0028,Городец,village
497,01-056-0029,Грушево,village
498,01-056-0030,Октябрь,village
499,01-056-0031,Кустовичи,village
500,01-056-0032,Онисковичи,village
501,01-056-0033,Оса,village
502,01-056-0034,Kobryn,region-center
503,01-056-0035,Dyvin,village
504,01-056-0036,Dyvin,village
505,01-056-0037,Ореховский,village
506,01-056-0038,Леликово,village
507,01-056-0039,Хабовичи,village
508,01-056-0040,Залесье,village
509,01-056-0041,Закросница,village
510,01-056-0042,Магдалин,village
511,01-056-0043,Киселёвцы,village
512,01-056-0044,Болота,village
513,01-056-0045,Новосёлки,village
514,01-056-0046,Бельск,village
515,01-056-0047,Верхолесье,village
516,01-056-0048,Остромичи,village
517,01-056-0049,Запруды,village
518,01-056-0050,Шеметовка,village
519,01-056-0051,Лука,village
520,01-056-0052,Повитье,village
521,01-056-0053,Тевли,village
522,01-056-0054,Остромичи,village
523,01-056-0055,Стригово,village
524,01-056-0056,Khidry,village
525,01-056-0057,Патрики,village
526,01-056-0058,Пески,village
527,01-056-0059,Корчицы,village
528,01-057-0001,Luniniec,region-center
529,01-057-0002,Luniniec,region-center
530,01-057-0003,Luniniec,region-center
531,01-057-0004,Luniniec,region-center
532,01-057-0005,Luniniec,region-center
533,01-057-0006,Luniniec,region-center
534,01-057-0007,Luniniec,region-center
535,01-057-0008,Luniniec,region-center
536,01-057-0009,Luniniec,region-center
537,01-057-0010,Luniniec,region-center
538,01-057-0011,Luniniec,region-center
539,01-057-0012,Luniniec,region-center
540,01-057-0013,Боровцы,village
541,01-057-0014,Дятловичи,village
542,01-057-0015,Станция Дятловичи,village
543,01-057-0016,Вулька 1,village
544,01-057-0017,Полесский,village
545,01-057-0018,Лунин,village
546,01-057-0019,Лобча,village
547,01-057-0020,Дубовка,village
548,01-057-0021,Богдановка,village
549,01-057-0022,Бостынь,village
550,01-057-0023,Велута,village
551,01-057-0024,Люща,village
552,01-057-0025,Большие Чучевичи,village
553,01-057-0026,Малые Чучевичи,village
554,01-057-0027,Боровики,village
555,01-057-0028,Вулька 2,village
556,01-057-0029,Бродница,village
557,01-057-0030,Межлесье,village
558,01-057-0031,Красная Воля,village
559,01-057-0032,Озерница,village
560,01-057-0033,Любачин,village
561,01-057-0034,Дворец,village
562,01-057-0035,Язвинки,village
563,01-057-0036,Ракитно,village
564,01-057-0037,Кожан-Городок,village
565,01-057-0038,Дребск,village
566,01-057-0039,Цна,village
567,01-057-0040,Lakhva,village
568,01-057-0041,Лаховка,village
569,01-057-0042,Барсуково,village
570,01-057-0043,Редигерово,village
571,01-057-0044,Черебасово,village
572,01-057-0045,Синкевичи,village
573,01-057-0046,Гряда,village
574,01-057-0047,Запросье,village
575,01-057-0048,Ситница,village
576,01-057-0049,Mikashevichy,region-center
577,01-057-0050,Mikashevichy,region-center
578,01-057-0051,Mikashevichy,region-center
579,01-057-0052,Mikashevichy,region-center
580,01-057-0053,Mikashevichy,region-center
581,01-057-0054,Mikashevichy,region-center
582,01-057-0055,Mikashevichy,region-center
583,01-058-0001,Lyakhavichy,region-center
584,01-058-0002,Lyakhavichy,region-center
585,01-058-0003,Lyakhavichy,region-center
586,01-058-0004,Lyakhavichy,region-center
587,01-058-0005,Lyakhavichy,region-center
588,01-058-0006,Lyakhavichy,region-center
589,01-058-0007,Lyakhavichy,region-center
590,01-058-0008,Гончары,village
591,01-058-0009,Куршиновичи,village
592,01-058-0010,Тальминовичи,village
593,01-058-0011,Зарытово,village
594,01-058-0012,Подлесье,village
595,01-058-0013,Зубелевичи,village
596,01-058-0014,Литва,village
597,01-058-0015,Коньки,village
598,01-058-0016,Головнинцы,village
599,01-058-0017,Kryvoshyn,village
600,01-058-0018,Липск,village
601,01-058-0019,Святица,village
602,01-058-0020,Нача,village
603,01-058-0021,Русиновичи,village
604,01-058-0022,Новосёлки,village
605,01-058-0023,Урожайная,village
606,01-058-0024,Lyakhavichy,region-center
607,01-058-0025,Задворье,village
608,01-058-0026,Ольховцы,village
609,01-058-0027,Малое Городище,village
610,01-058-0028,Остров,village
