id,area,source,tihanovkaja,against,cherechen,corrupted,dmitriyev,kanopatskaja,latitude,longitude
01-011-0051,city,voice,738.07,75.3959,23.8008,12.14,26.1969,22.0437,52.106976,23.821219
01-011-0052,city,voice,16.045,7.68699,2.42661,1.23774,2.6709,2.24747,52.106091,23.81609
01-011-0053,city,voice,3.209,2.00694,0.633548,0.323152,0.697328,0.586776,52.106765,23.817707
01-011-0054,city,voice,0,1.17386,0.370563,0.189012,0.407868,0.343206,52.105726,23.818165
01-011-0055,city,voice,0,5.86932,1.85282,0.94506,2.03934,1.71603,52.103474,23.810457
01-011-0056,city,voice,446.051,68.8436,21.7324,11.085,23.9202,20.128,52.096144,23.812218
01-011-0057,city,voice,606.501,101.107,31.9171,16.2799,35.1303,29.5608,52.074506,23.757538
01-011-0058,city,voice,1004.42,173.888,54.8926,27.9989,60.4187,50.8402,52.080816,23.759478
01-011-0059,city,voice,417.17,77.7799,24.5534,12.5239,27.0252,22.7407,52.074561,23.758831
01-011-0060,city,voice,616.128,88.3457,27.8888,14.2251,30.6964,25.8299,52.074561,23.758831
01-011-0061,city,official,869,144,35,16,27,16,52.072446,23.761005
01-011-0062,city,official,505,114,23,19,30,12,52.072413,23.758328
01-011-0063,city,official,1028,181,51,17,47,24,52.072258,23.759209
01-011-0064,city,voice,834.34,83.9542,26.5025,13.518,29.1705,24.5459,52.071727,23.753846
01-011-0065,city,voice,365.826,51.5382,16.2695,8.29852,17.9073,15.0684,52.079814,23.749794
01-011-0066,city,official,498,57,41,13,41,22,52.079814,23.749794
01-011-0067,city,voice,645.009,119.321,37.6669,19.2126,41.4589,34.8861,52.077877,23.748537
01-011-0068,city,voice,365.826,52.712,16.64,8.48753,18.3152,15.4116,52.07926,23.74391
01-011-0069,city,voice,673.89,89.2547,28.1758,14.3715,31.0122,26.0957,52.07926,23.74391
01-011-0070,city,voice,497.395,54.0001,17.0466,8.69493,18.7627,15.7882,52.078408,23.743865
01-011-0071,city,voice,725.234,109.627,34.6069,17.6518,38.0908,32.052,52.074351,23.752893
01-011-0072,city,voice,1238.67,160.75,50.7451,25.8834,55.8536,46.9988,52.07476,23.723986
01-011-0073,city,voice,664.263,90.2771,28.4985,14.5361,31.3675,26.3946,52.07476,23.723986
01-011-0074,city,voice,770.16,90.7698,28.654,14.6155,31.5387,26.5386,52.073426,23.727103
01-011-0075,city,official,473,179,40,65,38,19,52.071777,23.701411
01-011-0076,city,official-corrupted-fix,714,55.104,36,8.896,34,21,52.071777,23.701411
01-011-0077,city,voice,937.028,150.524,47.5171,24.2369,52.3007,44.0092,52.069756,23.69912
01-011-0078,city,voice,914.565,137.649,43.4529,22.1639,47.8273,40.2449,52.067807,23.729286
01-011-0079,city,official,571,107,25,13,49,45,52.067807,23.729286
01-011-0080,city,voice,930.61,152.38,48.1029,24.5357,52.9454,44.5516,52.06861,23.728522
01-011-0081,city,voice,1171.28,106.865,33.7349,17.2071,37.1311,31.2444,52.06861,23.728522
01-011-0082,city,voice,689.935,107.506,33.9374,17.3104,37.354,31.432,52.067375,23.727112
01-011-0083,city,voice,1132.78,142.649,45.0311,22.9689,49.5644,41.7066,52.060981,23.737191
01-011-0084,city,voice,571.202,127.159,40.1412,20.4747,44.1823,37.1778,52.060981,23.737191
01-011-0085,city,voice,3.209,0.83308,0.262985,0.13414,0.28946,0.24357,52.062135,23.719683
01-011-0086,city,voice,391.498,67.5937,21.3378,10.8837,23.4859,19.7626,52.062476,23.732717
01-011-0087,city,official,1155,164,34,23,43,22,52.05665,23.737146
01-011-0088,city,official-corrupted-fix,646,130.011,38,20.989,32,24,52.044859,23.700037
01-011-0089,city,voice,523.067,115.836,36.567,18.6516,40.2482,33.8674,52.065665,23.689445
01-047-0001,town_over100,voice,260.82,64.8349,22.2332,13.7702,23.0938,19.5078,53.122334,25.973762
01-047-0002,town_over100,voice,536.544,80.0872,27.4635,17.0097,28.5266,24.097,53.129229,25.984659
01-047-0003,town_over100,voice,689.31,118.152,40.5167,25.0942,42.0851,35.5501,53.136279,25.989106
01-047-0004,town_over100,voice,428.49,47.0161,16.1228,9.98573,16.7469,14.1464,53.136279,25.989106
01-047-0005,town_over100,voice,208.656,77.0714,26.4294,16.3692,27.4524,23.1896,53.148173,26.017609
01-047-0006,town_over100,voice,506.736,96.0807,32.948,20.4065,34.2234,28.9092,53.147055,26.00656
01-047-0007,town_over100,voice,577.53,132.131,45.3105,28.0633,47.0645,39.7563,53.152024,26.000056
01-047-0008,town_over100,voice,417.312,86.0933,29.5232,18.2853,30.666,25.9042,53.153585,26.005123
01-047-0009,town_over100,voice,510.462,57.8515,19.8385,12.287,20.6064,17.4066,53.153585,26.005123
01-047-0010,town_over100,voice,424.764,95.3268,32.6895,20.2464,33.9549,28.6824,53.153082,26.007305
01-047-0011,town_over100,voice,655.776,108.106,37.0717,22.9605,38.5067,32.5274,53.153487,26.008985
01-047-0012,town_over100,voice,469.476,51.1736,17.5485,10.8687,18.2278,15.3974,53.153487,26.008985
01-047-0013,town_over100,voice,786.186,143.674,49.2686,30.5148,51.1758,43.2292,53.160804,26.023763
01-047-0014,town_over100,voice,555.174,76.7071,26.3044,16.2918,27.3227,23.08,53.153104,26.028012
01-047-0015,town_over100,voice,666.954,92.9719,31.882,19.7462,33.1161,27.9738,53.14691,26.041414
01-047-0016,town_over100,voice,294.354,33.2952,11.4176,7.07155,11.8596,10.018,53.143361,26.045134
01-047-0017,town_over100,voice,640.872,65.6955,22.5283,13.953,23.4004,19.7668,53.132935,26.040462
01-047-0018,town_over100,voice,398.682,44.1071,15.1252,9.36787,15.7107,13.2712,53.14638,26.044325
01-047-0019,town_over100,voice,503.01,43.5773,14.9436,9.25536,15.522,13.1118,53.146915,26.05232
01-047-0020,town_over100,voice,1024.65,163.166,55.9528,34.6547,58.1187,49.0941,53.150204,26.061528
01-047-0021,town_over100,voice,376.326,46.6509,15.9976,9.90816,16.6168,14.0366,53.14516,26.050326
