id,town,area,latitude,longitude,region
06-132-0005,Krychaw,town_below100,53.714987,31.720977,6
06-132-0006,Krychaw,town_below100,53.713559,31.722863,6
06-132-0007,Krychaw,town_below100,53.711725,31.710404,6
06-132-0008,Krychaw,town_below100,53.715416,31.714477,6
06-132-0009,Krychaw,town_below100,53.738833,31.707088,6
06-132-0010,Krychaw,town_below100,53.734709,31.695716,6
06-132-0011,Krychaw,town_below100,53.740397,31.722387,6
06-132-0012,Krychaw,town_below100,53.747092,31.719249,6
06-132-0013,Krychaw,town_below100,53.689443,31.709712,6
06-132-0014,Ботвиновка,village,53.758309,31.4644,6
06-132-0015,Осовец,village,53.80324,31.427228,6
06-132-0016,Сычики,village,53.73137,31.403827,6
06-132-0017,Костюшковичи,village,53.698395,31.588466,6
06-132-0018,Сокольничи,village,53.661755,31.666279,6
06-132-0019,Красная Буда,village,53.708149,31.840354,6
06-132-0020,Дяговичи,village,53.774733,31.810045,6
06-132-0021,Ивановка,village,53.757036,31.682376,6
06-132-0022,Бель 1,village,53.787741,31.697127,6
06-132-0023,Лобковичи,village,53.832588,31.748259,6
06-132-0024,Луты,village,53.818605,31.575971,6
06-132-0025,Molyatichi,village,53.85695,31.536652,6
06-133-0001,Kruhlaye,town_below100,54.254183,29.78782,6
06-133-0002,Kruhlaye,town_below100,54.252655,29.797391,6
06-133-0003,Kruhlaye,town_below100,54.244919,29.798843,6
06-133-0004,Kruhlaye,town_below100,54.243251,29.800864,6
06-133-0005,Kruhlaye,town_below100,54.262808,29.79286,6
06-133-0006,Kruhlaye,town_below100,54.237563,29.769037,6
06-133-0007,Старое Радча,village,54.291638,29.780796,6
06-133-0008,Дуброва,village,54.258596,29.911087,6
06-133-0009,Запрудье,village,54.177042,29.920529,6
06-133-0010,Комсеничи,village,54.14617,29.878002,6
06-133-0011,Пригани 1,village,54.168377,29.807017,6
06-133-0012,Тетерино,village,54.162326,29.762677,6
06-133-0013,Shepeleviche,village,54.123703,29.559909,6
06-133-0014,Круча,village,54.246534,29.539454,6
06-133-0015,Рубеж,village,54.238021,29.627309,6
