id,zubr_id,observers,accreditation-reject,let-observer-in-violation,no-let-observer-in,observer-pushed-away,force-beforehand-voting,late-report,home-voting-violation,wrong-voters-number,no-medcine-on-poll-station,non-transparent-counting,observer-limitations,other
07-002-0074,324,6,False,False,True,False,True,False,False,False,False,False,False,False
07-003-0001,325,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0002,326,8,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0003,327,6,False,False,True,False,False,False,True,False,False,False,True,False
07-003-0004,328,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0005,329,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0006,330,6,False,False,True,False,False,True,False,True,False,False,True,True
07-003-0007,331,7,False,False,True,True,False,False,False,True,True,False,False,True
07-003-0008,332,4,False,False,True,True,False,True,False,True,True,False,True,True
07-003-0009,333,4,False,False,True,False,False,False,False,True,False,False,False,False
07-003-0010,334,4,False,False,False,False,False,False,False,True,False,False,True,False
07-003-0011,335,3,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0012,336,3,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0013,337,7,False,False,True,False,False,True,False,True,False,False,True,True
07-003-0014,338,5,False,True,False,False,False,True,False,True,False,True,False,True
07-003-0015,339,3,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0016,340,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0017,341,6,False,False,True,False,False,True,False,True,True,True,True,True
07-003-0018,342,10,False,False,True,True,False,True,False,False,True,True,True,True
07-003-0019,343,10,False,True,True,False,False,False,True,True,True,False,True,False
07-003-0020,344,14,False,False,True,True,False,False,False,True,False,True,True,True
07-003-0021,345,12,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0022,346,1,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0023,347,1,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0024,348,4,False,False,False,False,False,False,False,False,False,False,False,True
07-003-0025,349,3,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0026,350,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0027,351,1,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0028,352,7,False,False,True,True,False,False,False,False,True,False,False,True
07-003-0029,353,7,False,False,False,False,False,False,False,False,False,False,False,True
07-003-0030,354,5,False,False,True,False,False,False,False,False,True,False,False,False
07-003-0031,355,4,False,False,False,True,False,False,False,False,False,False,True,False
07-003-0032,356,5,False,False,True,False,False,False,False,True,False,True,True,True
07-003-0033,357,8,False,False,True,False,False,True,False,False,False,False,True,True
07-003-0034,358,5,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0035,359,10,False,False,True,True,False,False,False,True,False,False,True,False
07-003-0036,360,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0037,361,10,False,False,True,False,False,True,False,True,False,False,False,False
07-003-0038,362,7,False,False,True,False,False,True,False,False,False,False,True,False
07-003-0039,363,7,False,False,True,False,False,False,False,False,True,False,True,False
07-003-0040,364,4,False,False,True,False,False,False,False,False,True,False,True,True
07-003-0041,365,5,False,False,True,False,False,False,False,True,True,False,True,False
07-003-0042,366,2,False,False,True,False,False,True,False,True,False,False,True,False
